City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
242,Castro,BR,2022-06-12 06:24:27,-24.7911,-50.0119,37.42,75,98,4.27
243,Ordu,TR,2022-06-12 06:24:28,40.9086,37.6845,59.5,76,68,2.01
244,Saint Anthony,US,2022-06-12 06:24:28,45.0205,-93.218,66.11,79,20,11.5
245,Tornio,FI,2022-06-12 06:24:28,65.8481,24.1466,55.42,82,82,9.37
246,Blagoyevo,RU,2022-06-12 06:24:29,63.3667,47.9167,56.41,41,1,7.9
247,Iracoubo,GF,2022-06-12 06:24:29,5.4802,-53.2011,75.6,88,56,4.09
248,Kabare,CD,2022-06-12 06:24:29,-2.4683,28.8242,64.67,87,62,2.26
249,Tado,CO,2022-06-12 06:24:30,5.266,-76.5649,72.25,98,99,1.32
250,Vieques,PR,2022-06-12 06:24:30,18.425,-65.8329,82.44,83,20,6.91
251,Awbari,LY,2022-06-12 06:24:30,26.5921,12.7805,77.74,31,0,11.74
252,Verkhnetulomskiy,RU,2022-06-12 06:24:30,68.6073,31.7962,55.53,74,88,10.18
253,Domanivka,UA,2022-06-12 06:24:31,47.6319,30.9885,73.89,60,70,7.56
254,Charagua,BO,2022-06-12 06:24:31,-19.8,-63.2167,44.58,82,0,3.76
255,Sinnamary,GF,2022-06-12 06:24:31,5.3833,-52.95,76.12,87,76,4.14
256,Kedrovyy,RU,2022-06-12 06:24:32,56.1667,91.8167,72.01,46,100,6.55
257,Mutis,CO,2022-06-12 06:24:32,6.2262,-77.4044,75.45,93,100,2.95
258,Caluquembe,AO,2022-06-12 06:24:32,-13.7833,14.6833,48.7,58,0,4.32
259,Aduturai,IN,2022-06-12 06:24:33,11.0147,79.4791,96.19,38,97,10.29
260,Kyrnasivka,UA,2022-06-12 06:24:33,48.5955,28.979,71.1,72,43,10.65
261,Weligama,LK,2022-06-12 06:24:33,5.9667,80.4167,81.95,80,100,10.42
262,Birsk,RU,2022-06-12 06:24:33,55.4211,55.5428,47.53,81,100,10.87
263,Nunchia,CO,2022-06-12 06:24:34,5.6406,-72.1986,68.63,97,100,3.65
