City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
288,Izhma,RU,65.0083,53.9113,63.99,60,100,9.06,overcast clouds
289,Jega,NG,12.2175,4.3792,90.34,43,52,11.34,broken clouds
290,Salalah,OM,17.0151,54.0924,88.36,71,100,11.7,overcast clouds
291,Carndonagh,IE,55.25,-7.2667,58.62,71,100,10.36,overcast clouds
292,Nieuwpoort,BE,51.1244,2.7735,68.18,48,0,9.22,clear sky
293,Luebo,CD,-5.35,21.4167,90.68,34,24,1.21,few clouds
294,Fougamou,GA,-1.2154,10.5838,79.3,77,100,2.48,overcast clouds
295,Los Corrales De Buelna,ES,43.2636,-4.0726,69.24,52,79,2.46,broken clouds
296,Normandin,CA,48.8333,-72.5321,55.71,98,22,5.01,few clouds
297,Loukhi,RU,66.0764,33.0381,67.46,47,83,6.33,broken clouds
298,Lago Da Pedra,BR,-4.3333,-45.1667,69.08,98,27,1.3,scattered clouds
299,Karaikkudi,IN,10.0667,78.7833,99.73,31,100,3.98,overcast clouds
300,Goderich,CA,43.7501,-81.7165,62.92,72,100,8.05,overcast clouds
301,Sao Jose Do Rio Preto,BR,-20.8197,-49.3794,52.07,66,0,5.75,clear sky
302,Puerto Cabezas,NI,14.0351,-83.3888,77.23,88,100,10.67,overcast clouds
303,Saraipali,IN,21.3333,83.0,105.01,25,68,5.79,broken clouds
304,Huarmey,PE,-10.0681,-78.1522,61.9,85,64,8.37,broken clouds
305,Khandbari,NP,27.3747,87.2039,84.11,65,71,5.26,broken clouds
306,Saint-Augustin,CA,51.226,-58.6502,55.27,69,100,4.81,overcast clouds
307,Iqaluit,CA,63.7506,-68.5145,37.13,86,75,3.44,light rain
308,Qasigiannguit,GL,68.8193,-51.1922,31.51,75,67,3.98,broken clouds
309,Rayagada,IN,19.1667,83.4167,92.41,47,85,6.51,heavy intensity rain
310,Nicoya,CR,10.1483,-85.452,71.8,96,100,2.28,overcast clouds
311,Nizhniy Odes,RU,63.6445,54.856,65.62,44,100,8.75,overcast clouds
312,Kismayo,SO,-0.3582,42.5454,83.07,67,12,18.66,few clouds
313,Immenstadt,DE,47.561,10.2199,70.5,48,2,3.0,clear sky
314,Ouadda,CF,8.0777,22.4007,73.2,78,100,7.65,overcast clouds
315,Guaruja,BR,-23.9931,-46.2564,61.9,26,17,4.38,few clouds
316,Lerwick,GB,60.1545,-1.1494,51.8,94,100,17.34,light rain
317,Kutum,SD,14.2,24.6667,83.26,37,100,2.08,overcast clouds
318,Assai,BR,-23.3733,-50.8414,48.06,90,0,8.05,clear sky
319,Rajmahal,IN,25.05,87.8333,104.07,30,100,10.25,overcast clouds
320,Kachhwa,IN,25.2167,82.7167,109.38,14,11,13.85,few clouds
321,Faya,SA,18.3851,42.4509,86.52,11,74,13.15,broken clouds
322,Tema,GH,5.667,-0.0166,81.01,78,0,13.8,clear sky
323,At-Bashi,KG,41.1702,75.8106,71.51,28,2,5.32,clear sky
324,Troitsko-Pechorsk,RU,62.7084,56.1964,72.09,25,100,4.5,overcast clouds
325,Manavgat,TR,36.7867,31.4431,76.15,65,98,2.71,overcast clouds
326,Luderitz,NA,-26.6481,15.1594,60.35,71,0,9.24,clear sky
327,Axim,GH,4.8699,-2.2405,81.25,71,99,9.15,overcast clouds
328,Corrente,BR,-3.7367,-43.3394,69.39,98,20,3.0,few clouds
329,Gairo,IT,39.8497,9.5047,78.17,23,0,5.28,clear sky
330,Moose Factory,CA,51.2585,-80.6094,48.99,85,33,2.48,scattered clouds
331,Mana,GF,5.6592,-53.7767,74.79,90,100,4.36,overcast clouds
332,Pindobacu,BR,-10.7417,-40.3608,67.75,87,100,7.78,overcast clouds
333,Buriti Bravo,BR,-5.8372,-43.8336,68.11,98,63,2.73,broken clouds
334,Pyshma,RU,56.9523,63.2513,68.2,52,17,12.24,few clouds
335,Narsaq,GL,60.9167,-46.05,40.93,56,63,0.69,broken clouds
336,Hettstedt,DE,51.65,11.5,64.87,51,100,6.17,overcast clouds
337,Durusu,TR,41.3053,28.6767,75.83,72,6,7.0,clear sky
338,Gayny,RU,60.3071,54.3241,73.4,30,92,6.62,overcast clouds
339,Vizinga,RU,61.0749,50.1031,67.06,56,96,6.17,overcast clouds
340,Cumana,VE,10.4635,-64.1775,75.83,81,100,2.98,overcast clouds
341,Marsh Harbour,BS,26.5412,-77.0636,79.86,82,16,7.63,few clouds
342,Den Helder,NL,52.9599,4.7593,65.97,73,100,9.22,overcast clouds
343,Verkhniy Baskunchak,RU,48.2256,46.7217,82.18,25,10,8.1,clear sky
344,Zhanaozen,KZ,43.3,52.8,92.84,16,95,13.38,overcast clouds
